IRI 	Encode name
http://purl.obolibrary.org/obo/PR_000016263	AP-2alpha
http://purl.obolibrary.org/obo/PR_000016265	AP-2gamma
http://purl.obolibrary.org/obo/PR_000004265	ARID3A
http://purl.obolibrary.org/obo/PR_000004397	ATF1
http://purl.obolibrary.org/obo/PR_000004398	ATF2
http://purl.obolibrary.org/obo/PR_000004399	ATF3
http://purl.obolibrary.org/obo/PR_000004617	Bach1
http://purl.obolibrary.org/obo/PR_000015263	BAF155
http://purl.obolibrary.org/obo/PR_000015264	BAF170
http://purl.obolibrary.org/obo/PR_000004654	BATF
http://purl.obolibrary.org/obo/PR_000004690	BCL11A
http://purl.obolibrary.org/obo/PR_000004699	BCL3
http://purl.obolibrary.org/obo/PR_000004706	BCLAF1
http://purl.obolibrary.org/obo/PR_000004717	BDP1
http://purl.obolibrary.org/obo/PR_000004740	BHLHE4
http://purl.obolibrary.org/obo/PR_000004803	BRCA1
http://purl.obolibrary.org/obo/PR_000004812	BRF1
http://purl.obolibrary.org/obo/PR_000004813	BRF2
http://purl.obolibrary.org/obo/PR_000029763	Brg1
http://purl.obolibrary.org/obo/PR_000007597	c-Fos
http://purl.obolibrary.org/obo/PR_000009232	c-Jun
http://purl.obolibrary.org/obo/PR_000000084	c-Myc
http://purl.obolibrary.org/obo/PR_000005084	CBX3
http://purl.obolibrary.org/obo/PR_000005140	CCNT2
http://purl.obolibrary.org/obo/PR_000029308	CDP
http://purl.obolibrary.org/obo/PR_000005308	CEBPB
http://purl.obolibrary.org/obo/PR_000005309	CEBPD
http://purl.obolibrary.org/obo/PR_000005312	CEBPZ
http://purl.obolibrary.org/obo/PR_000005406	CHD1
http://purl.obolibrary.org/obo/PR_000005408	CHD2
http://purl.obolibrary.org/obo/PR_000013841	COREST
http://purl.obolibrary.org/obo/PR_000005854	CREB1
http://purl.obolibrary.org/obo/PR_000005995	CtBP2
http://purl.obolibrary.org/obo/PR_000005997	CTCF
http://purl.obolibrary.org/obo/PR_000005998	CTCFL
http://purl.obolibrary.org/obo/PR_000006852	E2F1
http://purl.obolibrary.org/obo/PR_000006855	E2F4
http://purl.obolibrary.org/obo/PR_000006857	E2F6
http://purl.obolibrary.org/obo/PR_000001942	EBF1
http://purl.obolibrary.org/obo/PR_000006937	Egr-1
http://purl.obolibrary.org/obo/PR_000007020	ELF1
http://purl.obolibrary.org/obo/PR_000007025	ELK1
http://purl.obolibrary.org/obo/PR_000007027	ELK4
http://purl.obolibrary.org/obo/PR_000027727	ERalpha_a
http://purl.obolibrary.org/obo/PR_000007208	ERRA
http://purl.obolibrary.org/obo/PR_000007221	ETS1
http://purl.obolibrary.org/obo/PR_000007599	FOSL1
http://purl.obolibrary.org/obo/PR_000007600	FOSL2
http://purl.obolibrary.org/obo/PR_000007602	FOXA1
http://purl.obolibrary.org/obo/PR_000007603	FOXA2
http://purl.obolibrary.org/obo/PR_000007635	FOXM1
http://purl.obolibrary.org/obo/PR_000007644	FOXP2
http://purl.obolibrary.org/obo/PR_000007764	GABP
http://purl.obolibrary.org/obo/PR_000007857	GATA-1
http://purl.obolibrary.org/obo/PR_000007858	GATA-2
http://purl.obolibrary.org/obo/PR_000007857	GATA1
http://purl.obolibrary.org/obo/PR_000007858	GATA2
http://purl.obolibrary.org/obo/PR_000001941	GATA3
http://purl.obolibrary.org/obo/PR_000007902	GCN5
http://purl.obolibrary.org/obo/PR_000011406	GR
http://purl.obolibrary.org/obo/EGO_0000000118	GRp20
http://purl.obolibrary.org/obo/PR_000008313	GTF2B
http://purl.obolibrary.org/obo/PR_000008315	GTF2F1
http://purl.obolibrary.org/obo/PR_000006852	HA-E2F1 (E2F1)
http://purl.obolibrary.org/obo/PR_000008470	HCFC1
http://purl.obolibrary.org/obo/PR_000008481	HDAC2
http://purl.obolibrary.org/obo/PR_000008528	HEY1
http://purl.obolibrary.org/obo/PR_000029547	HMGN3
http://purl.obolibrary.org/obo/PR_000008654	HNF4A
http://purl.obolibrary.org/obo/PR_000008655	HNF4G
http://purl.obolibrary.org/obo/PR_000008790	HSF1
http://purl.obolibrary.org/obo/PR_000001811	IKZF1
http://purl.obolibrary.org/obo/PR_000015262	Ini1
http://purl.obolibrary.org/obo/PR_000002043	IRF1
http://purl.obolibrary.org/obo/PR_000002045	IRF3
http://purl.obolibrary.org/obo/PR_000002046	IRF4
http://purl.obolibrary.org/obo/PR_000009234	JunD
http://purl.obolibrary.org/obo/PR_000016652	KAP1 (TRIM28)
http://purl.obolibrary.org/obo/PR_000010049	MafF
http://purl.obolibrary.org/obo/PR_000010051	MafK
http://purl.obolibrary.org/obo/PR_000010211	Max
http://purl.obolibrary.org/obo/PR_000010212	MAZ
http://purl.obolibrary.org/obo/PR_000010218	MBD4
http://purl.obolibrary.org/obo/PR_000010309	MEF2A
http://purl.obolibrary.org/obo/PR_000010311	MEF2C
http://purl.obolibrary.org/obo/PR_000010709	MTA3
http://purl.obolibrary.org/obo/PR_000010793	Mxi1
http://purl.obolibrary.org/obo/PR_000010802	MYBL2
http://purl.obolibrary.org/obo/PR_000010968	NANOG
http://purl.obolibrary.org/obo/PR_000013847	NELFe
http://purl.obolibrary.org/obo/PR_000011168	NF-E2
http://purl.obolibrary.org/obo/PR_000005069	NF-YA
http://purl.obolibrary.org/obo/PR_000014362	NF-YB
http://purl.obolibrary.org/obo/PR_000003113	NFATC1
http://purl.obolibrary.org/obo/PR_000011175	NFIC
http://purl.obolibrary.org/obo/GO_0071159	NFKB
http://purl.obolibrary.org/obo/PR_000011405	NR2F2
http://purl.obolibrary.org/obo/PR_000011422	Nrf1
http://purl.obolibrary.org/obo/PR_000013894	NRSF
http://purl.obolibrary.org/obo/PR_000001350	p3
http://purl.obolibrary.org/obo/PR_000001903	PAX5-C2
http://purl.obolibrary.org/obo/PR_000001903	PAX5-N19
http://purl.obolibrary.org/obo/PR_000012328	Pbx3
http://purl.obolibrary.org/obo/PR_000013059	PGC1A
http://purl.obolibrary.org/obo/PR_000026474	PML
http://purl.obolibrary.org/obo/PR_000012969	Pol2
http://purl.obolibrary.org/obo/PR_000012969	Pol2-4H8
http://purl.obolibrary.org/obo/PR_000012965	Pol3
http://purl.obolibrary.org/obo/PR_000013036	POU2F2
http://purl.obolibrary.org/obo/PR_000013044	POU5F1
http://purl.obolibrary.org/obo/PR_000001831	PRDM1
http://purl.obolibrary.org/obo/PR_000001944	PU.1
http://purl.obolibrary.org/obo/PR_000013667	Rad21
http://purl.obolibrary.org/obo/PR_000013927	RFX5
http://purl.obolibrary.org/obo/PR_000013000	RPC155
http://purl.obolibrary.org/obo/PR_000014365	RUNX3
http://purl.obolibrary.org/obo/PR_000014372	RXRA
http://purl.obolibrary.org/obo/PR_000014724	SETDB1
http://purl.obolibrary.org/obo/PR_000014877	SIN3A
http://purl.obolibrary.org/obo/PR_000014877	Sin3Ak-2
http://purl.obolibrary.org/obo/PR_000014892	SIRT6
http://purl.obolibrary.org/obo/PR_000014900	SIX5
http://purl.obolibrary.org/obo/PR_000015272	SMC3
http://purl.obolibrary.org/obo/PR_000000133	SP1
http://purl.obolibrary.org/obo/PR_000015440	SP2
http://purl.obolibrary.org/obo/PR_000015442	SP4
http://purl.obolibrary.org/obo/PR_000031448	SPT20
http://purl.obolibrary.org/obo/PR_000015611	SREBP1
http://purl.obolibrary.org/obo/PR_000015612	SREBP2
http://purl.obolibrary.org/obo/PR_000015613	SRF
http://purl.obolibrary.org/obo/PR_000002087	STAT1
http://purl.obolibrary.org/obo/PR_000002088	STAT2
http://purl.obolibrary.org/obo/PR_000002089	STAT3
http://purl.obolibrary.org/obo/PR_000002091	STAT5A
http://purl.obolibrary.org/obo/PR_000015848	SUZ12
http://purl.obolibrary.org/obo/PR_000016014	TAF1
http://purl.obolibrary.org/obo/PR_000016033	TAF7
http://purl.obolibrary.org/obo/PR_000016043	TAL1
http://purl.obolibrary.org/obo/PR_000016133	TBLR1
http://purl.obolibrary.org/obo/PR_000016137	TBP
http://purl.obolibrary.org/obo/PR_000016176	TCF12
http://purl.obolibrary.org/obo/PR_000016185	TCF3
http://purl.obolibrary.org/obo/PR_000016186	TCF7L2
http://purl.obolibrary.org/obo/PR_000016221	TEAD4
http://purl.obolibrary.org/obo/PR_000008325	TFIIIC-11
http://purl.obolibrary.org/obo/PR_000016303	THAP1
http://purl.obolibrary.org/obo/PR_000011400	TR4
http://purl.obolibrary.org/obo/PR_000016652	TRIM28
http://purl.obolibrary.org/obo/PR_000017017	UBF
http://purl.obolibrary.org/obo/PR_000017017	UBTF
http://purl.obolibrary.org/obo/PR_000017137	USF-1 (USF1)
http://purl.obolibrary.org/obo/PR_000017137	USF1
http://purl.obolibrary.org/obo/PR_000017138	USF2
http://purl.obolibrary.org/obo/PR_000017456	WHIP
http://purl.obolibrary.org/obo/PR_000017507	XRCC4
http://purl.obolibrary.org/obo/PR_000017553	YY1
http://purl.obolibrary.org/obo/PR_000017575	ZBTB33
http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A
http://purl.obolibrary.org/obo/PR_000032504	ZC3H11A
http://purl.obolibrary.org/obo/PR_000017617	ZEB1
http://purl.obolibrary.org/obo/PR_000017673	ZKSCAN1
http://purl.obolibrary.org/obo/PR_000017683	ZNF-MIZD-CP1
http://purl.obolibrary.org/obo/PR_000017716	Znf143
http://purl.obolibrary.org/obo/PR_000017755	ZNF217
http://purl.obolibrary.org/obo/PR_000017788	ZNF263
http://purl.obolibrary.org/obo/PR_000017795	ZNF274
http://purl.obolibrary.org/obo/PR_000017858	ZNF384
http://purl.obolibrary.org/obo/PR_000018243	ZZZ3
http://purl.obolibrary.org/obo/CLO_0001601	A549
http://purl.obolibrary.org/obo/CLO_0037231	ECC-1
http://purl.obolibrary.org/obo/CLO_0010422	GM08714
http://purl.obolibrary.org/obo/CLO_0023758	GM10847
http://purl.obolibrary.org/obo/CLO_0022851	GM12878
http://purl.obolibrary.org/obo/CLO_0022859	GM12891
http://purl.obolibrary.org/obo/CLO_0022856	GM12892
http://purl.obolibrary.org/obo/CLO_0028068	GM15510
http://purl.obolibrary.org/obo/CLO_0024913	GM18505
http://purl.obolibrary.org/obo/CLO_0024847	GM18526
http://purl.obolibrary.org/obo/CLO_0026303	GM18951
http://purl.obolibrary.org/obo/CLO_0025875	GM19099
http://purl.obolibrary.org/obo/CLO_0027332	GM19193
http://purl.obolibrary.org/obo/CLO_0037281	H1-hESC
http://purl.obolibrary.org/obo/CLO_0037299	H1-neurons
http://purl.obolibrary.org/obo/CLO_0003665	HCT-116
http://purl.obolibrary.org/obo/CLO_0001230	HEK293
http://purl.obolibrary.org/obo/CLO_0037238	HEK293-T-REx
http://purl.obolibrary.org/obo/CLO_0003699	HeLa-S3
http://purl.obolibrary.org/obo/CLO_0003704	HepG2
http://purl.obolibrary.org/obo/CLO_0003775	HL-60
http://purl.obolibrary.org/obo/CLO_0004307	HUVEC
http://purl.obolibrary.org/obo/CLO_0006951	IMR90
http://purl.obolibrary.org/obo/CLO_0050126	K562
http://purl.obolibrary.org/obo/CLO_0007606	MCF-7
http://purl.obolibrary.org/obo/CLO_0037240	MCF1A-Er-Src
http://purl.obolibrary.org/obo/CLO_0007947	NB4
http://purl.obolibrary.org/obo/CLO_0008207	NT2-D1
http://purl.obolibrary.org/obo/CLO_0008381	PANC-1
http://purl.obolibrary.org/obo/CLO_0037277	PBDE
http://purl.obolibrary.org/obo/CLO_0037278	PBDEFetal
http://purl.obolibrary.org/obo/CLO_0008425	PFSK-1
http://purl.obolibrary.org/obo/CLO_0008734	Raji
http://purl.obolibrary.org/obo/CLO_0009015	SH-SY5Y
http://purl.obolibrary.org/obo/CLO_0009058	SK-N-MC
http://purl.obolibrary.org/obo/CLO_0009059	SK-N-SH
http://purl.obolibrary.org/obo/CLO_0037234	SK-N-SH_RA
http://purl.obolibrary.org/obo/CLO_0009251	T-47D
http://purl.obolibrary.org/obo/CLO_0009454	U2OS
http://purl.obolibrary.org/obo/CLO_0009464	U87
