TF-CL-Binding_IRI	TF-CL-Binding_Label	TF_IRI	TF_Label	CL_IRI	CL_Label
http://purl.obolibrary.org/obo/EGO_0000013424	FOXA2 binding in NB4 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0007947	NB4
http://purl.obolibrary.org/obo/EGO_0000016593	FOXA2 binding in GM08714 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0010422	GM08714
http://purl.obolibrary.org/obo/EGO_0000014350	FOXA2 binding in GM19193 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0027332	GM19193
http://purl.obolibrary.org/obo/EGO_0000013044	FOXA2 binding in HEK293-T-REx cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0037238	HEK293-T-REx
http://purl.obolibrary.org/obo/EGO_0000016675	FOXA2 binding in GM19099 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0025875	GM19099
http://purl.obolibrary.org/obo/EGO_0000014257	FOXA2 binding in Raji cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0008734	Raji
http://purl.obolibrary.org/obo/EGO_0000015443	FOXA2 binding in HepG2 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0003704	HepG2
http://purl.obolibrary.org/obo/EGO_0000012523	FOXA2 binding in H1-hESC cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0037281	H1-hESC
http://purl.obolibrary.org/obo/EGO_0000010817	FOXA2 binding in GM12878 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0022851	GM12878
http://purl.obolibrary.org/obo/EGO_0000016247	FOXA2 binding in GM18505 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0024913	GM18505
http://purl.obolibrary.org/obo/EGO_0000015307	FOXA2 binding in SK-N-SH_RA cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0037234	SK-N-SH_RA
http://purl.obolibrary.org/obo/EGO_0000014975	FOXA2 binding in PANC-1 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0008381	PANC-1
http://purl.obolibrary.org/obo/EGO_0000012333	FOXA2 binding in SK-N-SH cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0009059	SK-N-SH
http://purl.obolibrary.org/obo/EGO_0000010732	FOXA2 binding in MCF1A-Er-Src cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0037240	MCF1A-Er-Src
http://purl.obolibrary.org/obo/EGO_0000010378	FOXA2 binding in U87 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0009464	U87
http://purl.obolibrary.org/obo/EGO_0000013835	FOXA2 binding in K562 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0050126	K562
http://purl.obolibrary.org/obo/EGO_0000015408	FOXA2 binding in HCT-116 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0003665	HCT-116
http://purl.obolibrary.org/obo/EGO_0000011710	FOXA2 binding in GM18951 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0026303	GM18951
http://purl.obolibrary.org/obo/EGO_0000011017	FOXA2 binding in HEK293 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0001230	HEK293
http://purl.obolibrary.org/obo/EGO_0000016032	FOXA2 binding in H1-neurons cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0037299	H1-neurons
http://purl.obolibrary.org/obo/EGO_0000016468	FOXA2 binding in GM12891 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0022859	GM12891
http://purl.obolibrary.org/obo/EGO_0000013197	FOXA2 binding in IMR90 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0006951	IMR90
http://purl.obolibrary.org/obo/EGO_0000011963	FOXA2 binding in HUVEC cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0004307	HUVEC
http://purl.obolibrary.org/obo/EGO_0000013949	FOXA2 binding in HeLa-S3 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0003699	HeLa-S3
http://purl.obolibrary.org/obo/EGO_0000010616	FOXA2 binding in A549 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0001601	A549
http://purl.obolibrary.org/obo/EGO_0000015456	FOXA2 binding in U2OS cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0009454	U2OS
http://purl.obolibrary.org/obo/EGO_0000012366	FOXA2 binding in PBDE cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0037277	PBDE
http://purl.obolibrary.org/obo/EGO_0000015028	FOXA2 binding in NT2-D1 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0008207	NT2-D1
http://purl.obolibrary.org/obo/EGO_0000015949	FOXA2 binding in SK-N-MC cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0009058	SK-N-MC
http://purl.obolibrary.org/obo/EGO_0000011228	FOXA2 binding in T-47D cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0009251	T-47D
http://purl.obolibrary.org/obo/EGO_0000013072	FOXA2 binding in GM10847 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0023758	GM10847
http://purl.obolibrary.org/obo/EGO_0000014227	FOXA2 binding in HL-60 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0003775	HL-60
http://purl.obolibrary.org/obo/EGO_0000012964	FOXA2 binding in GM12892 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0022856	GM12892
http://purl.obolibrary.org/obo/EGO_0000012946	FOXA2 binding in ECC-1 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0037231	ECC-1
http://purl.obolibrary.org/obo/EGO_0000012961	FOXA2 binding in GM18526 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0024847	GM18526
http://purl.obolibrary.org/obo/EGO_0000012943	FOXA2 binding in GM15510 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0028068	GM15510
http://purl.obolibrary.org/obo/EGO_0000016276	FOXA2 binding in MCF-7 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0007606	MCF-7
http://purl.obolibrary.org/obo/EGO_0000012776	FOXA2 binding in PFSK-1 cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0008425	PFSK-1
http://purl.obolibrary.org/obo/EGO_0000013582	FOXA2 binding in PBDEFetal cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0037278	PBDEFetal
http://purl.obolibrary.org/obo/EGO_0000016424	FOXA2 binding in SH-SY5Y cell	http://purl.obolibrary.org/obo/PR_000007603	FOXA2	http://purl.obolibrary.org/obo/CLO_0009015	SH-SY5Y
http://purl.obolibrary.org/obo/EGO_0000016631	ZBTB7A binding in GM19193 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0027332	GM19193
